symbol,mcap_mm,is_auto,desc
FRC,19667,False,First Republic Bank
AEE,19620,False,Ameren Corporation
WY,19483,False,Weyerhaeuser Company
WST,19395,False,West Pharmaceutical Services Inc.
LH,19317,False,Laboratory Corporation of America Holdings
MKTX,19206,False,MarketAxess Holdings Inc.
LEN,19165,False,Lennar Corporation
FCX,19049,False,Freeport-McMoRan Inc.
AMP,18994,False,Ameriprise Financial Inc.
LUV,18659,False,Southwest Airlines Co.
SPG,18519,False,Simon Property Group Inc.
GRMN,18479,False,Garmin Ltd.
GWW,18288,False,W.W. Grainger Inc.
CMS,18183,False,CMS Energy Corporation
AKAM,18132,False,Akamai Technologies Inc.
KEYS,18114,False,Keysight Technologies Inc.
TEX,17997,False,Terex Corporation
ANET,17927,False,Arista Networks Inc.
MXIM,17902,False,Maxim Integrated Products Inc.
TSN,17899,False,Tyson Foods Inc.
TTWO,17839,False,Take-Two Interactive Software Inc.
CAG,17838,False,Conagra Brands Inc.
CTXS,17590,False,Citrix Systems Inc.
TSCO,16943,False,Tractor Supply Company
VMC,16856,False,Vulcan Materials Company
PAYC,16806,False,Paycom Software Inc.
AMCR,16799,False,Amcor plc
DGX,16786,False,Quest Diagnostics Incorporated
DAL,16558,False,Delta Air Lines Inc.
CAH,16497,False,Cardinal Health Inc.
PXD,16433,False,Pioneer Natural Resources Company
CDW,16303,False,CDW Corporation
FE,15970,False,FirstEnergy Corp.
ROL,15955,False,Rollins Inc.
HOLX,15944,False,Hologic Inc.
KMX,15893,False,CarMax Inc.
NTRS,15818,False,Northern Trust Corporation
DFS,15550,False,Discover Financial Services
HES,15498,False,Hess Corporation
OXY,15370,False,Occidental Petroleum Corporation
DPZ,15223,False,Domino's Pizza Inc.
DOV,15190,False,Dover Corporation
COO,15124,False,The Cooper Companies Inc.
BR,15073,False,Broadridge Financial Solutions Inc.
CPB,14926,False,Campbell Soup Company
HIG,14852,False,The Hartford Financial Services Group Inc.
TIF,14732,False,Tiffany & Co.
KSU,14595,False,Kansas City Southern
EVRG,14519,False,Evergy Inc.
CBRE,14465,False,CBRE Group Inc.
ZBRA,14333,False,Zebra Technologies Corporation
IP,14275,False,International Paper Company
MAS,14269,False,NAN
TYL,14202,False,Tyler Technologies Inc.
PEAK,14124,False,Healthpeak Properties Inc.
BXP,14087,False,Boston Properties Inc.
NVR,14056,False,NVR Inc.
ESS,14007,False,Essex Property Trust Inc.
VIAC,13936,False,ViacomCBS Inc.
FITB,13916,False,Fifth Third Bancorp
MLM,13898,False,Martin Marietta Materials Inc.
FMC,13894,False,FMC Corporation
WAT,13808,False,Waters Corporation
JBHT,13793,False,J.B. Hunt Transport Services Inc.
JKHY,13759,False,Jack Henry & Associates Inc.
SYF,13753,False,Synchrony Financial
DRE,13725,False,Duke Realty Corporation
IFF,13550,False,International Flavors & Fragrances Inc.
IR,13546,False,Ingersoll Rand Inc.
MTB,13487,False,M&T Bank Corporation
CINF,13383,False,Cincinnati Financial Corporation
XYL,13358,False,Xylem Inc.
EXPD,13345,False,Expeditors International of Washington Inc.
VTR,13344,False,Ventas Inc.
STE,13282,False,STERIS plc
LNT,13253,False,Alliant Energy Corporation
ABMD,13195,False,Abiomed Inc.
LDOS,12935,False,Leidos Holdings Inc.
HAL,12922,False,Halliburton Company
NUE,12903,False,Nucor Corporation
WDC,12842,False,Western Digital Corporation
QRVO,12806,False,Qorvo Inc.
GPC,12787,False,Genuine Parts Company
OKE,12751,False,ONEOK Inc.
MAA,12723,False,Mid-America Apartment Communities Inc.
BIO,12670,False,Bio-Rad Laboratories Inc.
IEX,12660,False,IDEX Corporation
ATO,12598,False,Atmos Energy Corporation
HPE,12359,False,Hewlett Packard Enterprise Company
SJM,12339,False,The J. M. Smucker Company
STX,12328,False,Seagate Technology plc
EXR,12314,False,Extra Space Storage Inc.
PKI,12293,False,PerkinElmer Inc.
PFG,12261,False,Principal Financial Group Inc.
OMC,12119,False,Omnicom Group Inc.
NLOK,12046,False,NortonLifeLock Inc.
KEY,11955,False,NAN
SIVB,11922,False,SVB Financial Group
WAB,11773,False,Wabtec Corporation
URI,11591,False,United Rentals Inc.
CHRW,11585,False,C.H. Robinson Worldwide Inc.
VAR,11548,False,Varian Medical Systems Inc.
ULTA,11471,False,Ulta Beauty Inc.
ETFC,11445,False,E*TRADE Financial Corporation
PHM,11429,False,PulteGroup Inc.
TDY,11388,False,Teledyne Technologies Incorporated
WRB,11380,False,W. R. Berkley Corporation
EXPE,11340,False,Expedia Group Inc.
IT,11119,False,Gartner Inc.
CTL,11073,False,CenturyLink Inc.
