date,spy,tsla
20140718,197.710007,220.0201
20140721,197.339996,220.54
20140722,198.199997,219.58
20140723,198.639999,222.49
20140724,198.649994,223.54
20140725,197.720001,223.57
20140728,197.800003,224.82
20140729,196.949997,225.01
20140730,196.979996,228.92
20140731,193.089996,223.3
20140801,192.5,233.27
20140804,193.889999,238.52
20140805,192.009995,238.49
20140806,192.070007,248.9301
20140807,191.029999,252.39
20140808,193.240005,248.13
20140811,193.800003,259.32
20140812,193.529999,259.96
20140813,194.839996,260.31
20140814,195.759995,261.38
20140815,195.720001,262.01
20140818,197.360001,259.94
20140819,198.389999,256.76
20140820,198.919998,255.71
20140821,199.5,254.34
20140822,199.190002,256.78
20140825,200.199997,262.55
20140826,200.330002,261.74
20140827,200.25,263.25
20140828,200.139999,263.86
20140829,200.710007,269.7
20140902,200.610001,284.12
20140903,200.5,281.19
20140904,200.210007,286.04
20140905,201.110001,277.39
20140908,200.589996,282.11
20140909,199.320007,278.48
20140910,200.070007,281.1
20140911,200.300003,280.31
20140912,199.130005,279.2
20140915,198.979996,253.86
20140916,200.479996,260.74
20140917,200.75,261.38
20140918,201.820007,263.82
20140919,200.699997,259.32
20140922,199.149994,250.03
20140923,198.009995,250.41
20140924,199.559998,252.14
20140925,196.339996,246.95
20140926,197.899994,246.6
20140929,197.539993,245.26
20140930,197.020004,242.68
20141001,194.350006,240.24
20141002,194.380005,251.42
20141003,196.520004,255.21
20141006,196.289993,260.62
20141007,193.259995,259.57
20141008,196.639999,259.28
20141009,192.740005,257.01
20141010,190.539993,236.91
20141013,187.410004,224.59
20141014,187.699997,227.06
20141015,186.429993,229.7
20141016,186.270004,226.35
20141017,188.470001,227.48
20141020,190.300003,230.47
20141021,194.070007,235.34
20141022,192.690002,231.1
20141023,194.929993,235.29
20141024,196.429993,235.24
20141027,196.160004,221.67
20141028,198.410004,242.77
20141029,198.110001,238.1
20141030,199.380005,238.66
20141031,201.660004,241.7
